category,brand,name,price_eur,rating_count,specs,image_url
SSD,Western Digital,Western Digital Blue,332.25,107,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.332"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/a3b09866e3716566572bf9a13792cc85.256p.jpg
SSD,Kingston,Kingston NV3,151.8,54,"{""Cache"":"""",""Capacity"":""1 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.152"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/0a0b12a29d901a2fef4cd49748f3cc54.256p.jpg
SSD,Kingston,Kingston NV3,209.8,13,"{""Cache"":"""",""Capacity"":""2 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.105"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/4ad646899fef008aa00b6b74bf72e646.256p.jpg
SSD,Kingston,Kingston NV3,109.99,8,"{""Cache"":"""",""Capacity"":""500 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.220"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/dd209f6e731740b8c5f702e2fc673ad2.256p.jpg
SSD,Kingston,Kingston FURY Renegade G5,1901.14,0,"{""Cache"":"""",""Capacity"":""8 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.238"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/c8443eac545855ab2ef3b11814140054.256p.jpg
SSD,Kingston,Kingston KC3000,319.99,45,"{""Cache"":"""",""Capacity"":""2.048 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.156"",""Type"":""SSD""}",https://m.media-amazon.com/images/I/31p3IUZV+ZL.jpg
SSD,Kingston,Kingston A400,70.86,127,"{""Cache"":"""",""Capacity"":""240 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.295"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg
SSD,Kingston,Kingston KC3000,202.99,25,"{""Cache"":"""",""Capacity"":""1.024 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.198"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/e66fc9e6326af9ce97e3bd50268f61a2.256p.jpg
SSD,Kingston,Kingston A400,90.38,63,"{""Cache"":"""",""Capacity"":""480 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.188"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg
SSD,Kingston,Kingston FURY Renegade G5,333.43,0,"{""Cache"":"""",""Capacity"":""2.048 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.163"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/4086d776ab0debe42cb6473dab77e41d.256p.jpg
SSD,Kingston,Kingston A400,114.8,15,"{""Cache"":"""",""Capacity"":""960 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.120"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/0e5f348eea062654a82c98f7f373b8ae.256p.jpg
SSD,Kingston,Kingston FURY Renegade G5,660.0,0,"{""Cache"":"""",""Capacity"":""4.096 TB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 5.0 X4"",""Price \/ GB"":""\u20ac0.161"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/de5dd6625d5b5cb163fbf4aa3d017e46.256p.jpg
SSD,Kingston,Kingston NV2,137.88,20,"{""Cache"":"""",""Capacity"":""500 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 4.0 X4"",""Price \/ GB"":""\u20ac0.276"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/b95d0c7234714c4d7bb0f246c23cd3b9.256p.jpg
